"Data","Price"
26.11.14,402.31
27.11.14,504.04
28.11.14,567.31
29.11.14,570.80
30.11.14,581.04
1.12.14,581.04
2.12.14,627.31
3.12.14,951.21
4.12.14,1071.21
5.12.14,1123.03
6.12.14,1156.73
7.12.14,1258.42
8.12.14,1341.80
9.12.14,1384.91
10.12.14,1452.59
11.12.14,1471.31
12.12.14,1577.80
13.12.14,235.53
14.12.14,402.31
15.12.14,402.31
16.12.14,402.31
17.12.14,405.80
18.12.14,405.80
19.12.14,566.33
20.12.14,677.03
21.12.14,773.33
22.12.14,773.33
23.12.14,1123.03
24.12.14,235.53
25.12.14,367.48
26.12.14,398.33
27.12.14,402.31
28.12.14,466.33
29.12.14,567.31
30.12.14,567.31
31.12.14,568.33
1.1.15,590.31
2.1.15,178.53
3.1.15,398.33
4.1.15,398.33
5.1.15,398.33
6.1.15,398.33
7.1.15,398.33
8.1.15,402.31
9.1.15,402.31
10.1.15,402.31
11.1.15,402.31
12.1.15,402.31
13.1.15,421.33
14.1.15,425.31
15.1.15,481.04
16.1.15,486.33
17.1.15,530.10
18.1.15,653.80
19.1.15,677.03
20.1.15,951.21
21.1.15,961.21
22.1.15,966.04
23.1.15,1111.11
24.1.15,1115.33
25.1.15,1115.33
26.1.15,1115.33
27.1.15,1115.33
28.1.15,1132.53
29.1.15,1133.04
30.1.15,80.53
31.1.15,220.10
1.2.15,350.03
2.2.15,388.49
3.2.15,398.32
4.2.15,398.32
5.2.15,402.31
6.2.15,405.80
7.2.15,405.80
8.2.15,421.32
9.2.15,425.31
10.2.15,566.32
11.2.15,1111.14
12.2.15,1258.42
13.2.15,1384.91
14.2.15,2224.32
15.2.15,80.53
16.2.15,350.03
17.2.15,367.49
18.2.15,398.32
19.2.15,398.32
20.2.15,402.31
21.2.15,402.31
22.2.15,405.80
23.2.15,421.32
24.2.15,425.31
25.2.15,428.80
26.2.15,951.30
27.2.15,966.01
28.2.15,971.30
1.3.15,1001.30
2.3.15,1111.14
3.3.15,1115.32
4.3.15,1115.32
5.3.15,1258.42
6.3.15,1384.91
7.3.15,2224.32
8.3.15,80.53
9.3.15,220.10
10.3.15,350.03
11.3.15,388.49
12.3.15,398.32
13.3.15,398.32
14.3.15,402.31
15.3.15,405.80
16.3.15,421.32
17.3.15,425.31
18.3.15,428.80
19.3.15,951.30
20.3.15,971.30
21.3.15,1115.32
22.3.15,1115.32
23.3.15,80.53
24.3.15,350.03
25.3.15,388.49
26.3.15,398.32
27.3.15,402.31
28.3.15,421.32
29.3.15,425.31
30.3.15,466.32
31.3.15,466.32
1.4.15,470.80
2.4.15,480.49
3.4.15,80.53
4.4.15,220.10
5.4.15,242.49
6.4.15,350.03
7.4.15,398.32
8.4.15,398.32
9.4.15,402.31
10.4.15,402.31
11.4.15,405.80
12.4.15,416.01
13.4.15,421.32
14.4.15,425.31
15.4.15,428.80
16.4.15,951.30
17.4.15,966.01
18.4.15,971.30
19.4.15,1111.14
20.4.15,1115.32
21.4.15,1115.32
22.4.15,1132.50
23.4.15,1133.01
24.4.15,1258.42
25.4.15,1384.91
26.4.15,2224.32
27.4.15,61.53
28.4.15,350.03
29.4.15,398.32
30.4.15,402.31
1.5.15,402.31
2.5.15,405.80
3.5.15,421.32
4.5.15,425.31
5.5.15,102.53
6.5.15,220.10
7.5.15,350.03
8.5.15,398.32
9.5.15,398.32
10.5.15,402.31
11.5.15,402.31
12.5.15,405.80
13.5.15,405.80
14.5.15,421.32
15.5.15,425.31
16.5.15,463.32
17.5.15,79.42
18.5.15,82.72
19.5.15,94.42
20.5.15,113.72
21.5.15,151.53
22.5.15,213.11
23.5.15,240.75
24.5.15,365.75
25.5.15,398.32
26.5.15,398.32
27.5.15,402.31
28.5.15,405.80
29.5.15,405.80
30.5.15,416.01
31.5.15,421.32
1.6.15,425.31
2.6.15,428.80
3.6.15,579.35
4.6.15,627.03
5.6.15,755.10
6.6.15,1111.14
7.6.15,61.53
8.6.15,219.38
9.6.15,350.03
10.6.15,367.49
11.6.15,398.32
12.6.15,402.31
13.6.15,405.80
14.6.15,1111.14
15.6.15,61.53
16.6.15,129.42
17.6.15,149.42
18.6.15,175.72
19.6.15,339.38
20.6.15,365.75
21.6.15,388.49
22.6.15,398.32
23.6.15,402.31
24.6.15,405.80
25.6.15,405.80
26.6.15,421.32
27.6.15,425.31
28.6.15,578.03
29.6.15,628.35
30.6.15,129.42
1.7.15,149.42
2.7.15,298.01
3.7.15,311.83
4.7.15,381.38
5.7.15,388.49
6.7.15,398.32
7.7.15,398.32
8.7.15,402.31
9.7.15,405.42
10.7.15,405.80
11.7.15,405.80
12.7.15,421.32
13.7.15,425.31
14.7.15,463.32
15.7.15,1020.03
16.7.15,102.53
17.7.15,129.42
18.7.15,131.83
19.7.15,132.72
20.7.15,137.01
21.7.15,149.42
22.7.15,157.01
23.7.15,180.01
24.7.15,303.38
25.7.15,315.75
26.7.15,339.38
27.7.15,398.32
28.7.15,398.32
29.7.15,405.42
30.7.15,411.03
31.7.15,421.32
1.8.15,460.75
2.8.15,567.31
3.8.15,590.31
4.8.15,627.03
5.8.15,102.30
6.8.15,148.92
7.8.15,196.92
8.8.15,379.03
9.8.15,492.44
10.8.15,631.31
11.8.15,892.80
12.8.15,1311.92
13.8.15,1345.41
14.8.15,80.03
15.8.15,348.35
16.8.15,491.31
17.8.15,492.43
18.8.15,575.03
19.8.15,892.80
20.8.15,971.07
21.8.15,1311.92
22.8.15,1345.41
23.8.15,80.03
24.8.15,109.92
25.8.15,148.92
26.8.15,149.22
27.8.15,172.22
28.8.15,347.03
29.8.15,491.31
30.8.15,492.43
31.8.15,892.80
1.9.15,1311.92
2.9.15,1345.41
3.9.15,131.33
4.9.15,133.51
5.9.15,148.92
