tbl,Year,quarter,$mkt_fare,citymarketid_1,citymarketid_2,city1,city2,carairlineid,car,carpax,carpaxshare,$caravgfare,fareinc_min,fareinc_minpaxsh,fareinc_max,fare_inc_maxpaxsh,fare_inc_x3paxsh,Geocoded_City1,Geocoded_City2,tbl5pk
Table 5,"2,007",3,283.10,"30,647","34,100","Cleveland, OH (Metropolitan Area)","Philadelphia, PA","19,704",CO,"7,440",0.3400,253.19,100,0.3400,525,0.0500,0.3300,"Cleveland, OH (Metropolitan Area)(41.505546, -81.6915)","Philadelphia, PA(39.951061, -75.16562)",20073306473410019704CO
Table 5,"2,011",2,93.95,"30,158","31,135","Atlantic City, NJ","Myrtle Beach, SC","20,416",NK,"28,280",1.0000,93.95,75,0.2700,150,0.0800,0.0000,"Atlantic City, NJ(33.748547, -84.391502)","Myrtle Beach, SC(33.68785, -78.883852)",20112301583113520416NK
Table 5,"1,996",4,225.92,"30,977","32,070","Chicago, IL","Harrisburg, PA","19,977",UA,"11,200",0.5700,233.03,100,0.0500,450,0.1100,0.3000,"Chicago, IL(41.775002, -87.696388)","Harrisburg, PA(40.259572, -76.881821)",19964309773207019977UA
Table 5,"1,999",4,254.83,"34,100","34,524","Philadelphia, PA","Richmond, VA","20,355",US,"15,090",0.9800,255.43,125,0.0700,325,0.4300,0.00265076209410205,"Philadelphia, PA(39.951061, -75.16562)","Richmond, VA(37.540759, -77.433932)",19994341003452420355US
Table 5,"2,004",2,93.99,"31,453","33,214","Houston, TX","San Antonio, TX","19,704",CO,"13,940",0.2700,101.69,75,0.2100,125,0.2500,0.0300,"Houston, TX(29.760803, -95.369506)","San Antonio, TX(29.425173, -98.494599)",20042314533321419704CO
Table 5,"2,007",1,97.67,"31,703","35,096","New York City, NY (Metropolitan Area)","Syracuse, NY","20,409",B6,"23,960",0.7500,91.52,75,0.3900,150,0.1100,0.00459098497495826,"New York City, NY (Metropolitan Area)(40.123164, -75.333718)","Syracuse, NY(43.047945, -76.147448)",20071317033509620409B6
Table 5,"1,999",2,281.10,"31,057","30,977","Charlotte, NC","Chicago, IL","20,355",US,"33,490",0.5700,278.29,75,0.0500,475,0.1800,0.5000,"Charlotte, NC(35.222936, -80.840161)","Chicago, IL(41.775002, -87.696388)",19992310573097720355US
Table 5,"2,011",2,263.54,"30,647","31,650","Cleveland, OH (Metropolitan Area)","Minneapolis/St. Paul, MN","19,790",DL,"14,040",0.4400,268.47,125,0.0500,600,0.0500,0.1800,"Cleveland, OH (Metropolitan Area)(41.505546, -81.6915)","Minneapolis/St. Paul, MN(44.977479, -93.264346)",20112306473165019790DL
Table 5,"2,010",2,238.95,"30,194","33,044","Dallas/Fort Worth, TX","Louisville, KY","19,393",WN,"5,500",0.2100,195.93,150,0.3400,325,0.0800,0.0000,"Dallas/Fort Worth, TX(40.11086, -77.035636)","Louisville, KY(38.256078, -85.751569)",20102301943304419393WN
Table 5,"2,007",1,97.45,"30,977","32,337","Chicago, IL","Indianapolis, IN","19,393",WN,"14,030",0.3400,80.41,75,0.2600,100,0.7300,0.0000,"Chicago, IL(41.775002, -87.696388)","Indianapolis, IN(39.76845, -86.156212)",20071309773233719393WN
Table 5,"1,998",1,248.57,"32,337","31,703","Indianapolis, IN","New York City, NY (Metropolitan Area)","20,355",US,"23,970",0.3900,263.38,100,0.0500,450,0.2200,0.4200,"Indianapolis, IN(39.76845, -86.156212)","New York City, NY (Metropolitan Area)(40.123164, -75.333718)",19981323373170320355US
Table 5,"2,010",1,238.79,"30,721","31,295","Boston, MA (Metropolitan Area)","Detroit, MI","20,355",US,"9,980",0.1700,189.68,125,0.1000,300,0.0700,0.0200,"Boston, MA (Metropolitan Area)(42.358894, -71.056742)","Detroit, MI(42.332916, -83.047853)",20101307213129520355US
